SCATS Number,Location,Date,Lane Points
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,382
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,382
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,339
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,375
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,378
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,390
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,422
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,385
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,396
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,347
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,364
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,360
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,265
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,205
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,190
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,159
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,183
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,129
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,122
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,130
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,100
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,104
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,118
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,114
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,113
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,109
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,99
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,78
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,83
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,73
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,48
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,37
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-02 00:15:00,21
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,29
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,17
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,19
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,18
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,6
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,10
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,8
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,8
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,3
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,6
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,4
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,4
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,4
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,3
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,10
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,8
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,6
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,7
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,5
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,12
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,19
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,16
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,36
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,31
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,42
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,82
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,99
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,135
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,142
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,182
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,218
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,189
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,187
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,137
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,154
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,166
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,188
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,186
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,217
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,181
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,189
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,140
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,194
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,177
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,177
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,200
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,187
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,206
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,221
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,211
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,208
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,221
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,216
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,226
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,225
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,205
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,248
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,292
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,227
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,284
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,292
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,356
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,350
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,387
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,345
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,372
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,348
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,350
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,283
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,389
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,328
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,311
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,344
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,413
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,397
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,340
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,245
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,221
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,218
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,155
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,179
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,154
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,144
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,142
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,147
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,143
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,137
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,115
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,141
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,116
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,97
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,81
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,73
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,50
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,49
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-03 00:30:00,32
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,24
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,19
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,13
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,17
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,20
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,8
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,12
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,8
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,7
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,12
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,4
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,4
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,9
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,6
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,7
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,4
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,10
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,10
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,14
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,8
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,14
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,14
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,25
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,41
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,51
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,87
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,108
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,133
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,151
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,174
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,188
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,193
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,148
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,140
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,170
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,145
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,173
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,184
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,197
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,192
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,162
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,194
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,187
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,184
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,168
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,189
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,204
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,182
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,203
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,223
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,213
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,261
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,238
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,214
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,225
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,208
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,253
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,246
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,249
2820,PRINCESS_ST S of CHANDLER_HWY,2006-10-04 00:45:00,306
